 Date ,Close/Last,Volume,Open,High,Low
12/29/2023,192.53,"42,672,150.00",193.90,194.40,191.73
12/28/2023,193.58,"34,049,900.00",194.14,194.66,193.17
12/27/2023,193.15,"48,087,680.00",192.49,193.50,191.09
12/26/2023,193.05,"28,919,310.00",193.61,193.89,192.83
12/22/2023,193.60,"37,149,570.00",195.18,195.41,192.97
12/21/2023,194.68,"46,482,550.00",196.10,197.08,193.50
12/20/2023,194.83,"52,242,820.00",196.90,197.68,194.83
12/19/2023,196.94,"40,714,050.00",196.16,196.95,195.89
12/18/2023,195.89,"55,751,860.00",196.09,196.63,194.39
12/15/2023,197.57,"128,538,400.00",197.53,198.40,197.00
12/14/2023,198.11,"66,831,570.00",198.02,199.62,196.16
12/13/2023,197.96,"70,404,180.00",195.09,198.00,194.85
12/12/2023,194.71,"52,696,900.00",193.08,194.72,191.72
12/11/2023,193.18,"60,943,700.00",193.11,193.49,191.42
12/8/2023,195.71,"53,406,360.00",194.20,195.99,193.67
12/7/2023,194.27,"47,477,660.00",193.63,195.00,193.59
12/6/2023,192.32,"41,089,740.00",194.45,194.76,192.11
12/5/2023,193.42,"66,628,400.00",190.21,194.40,190.18
12/4/2023,189.43,"43,389,520.00",189.98,190.05,187.45
12/1/2023,191.24,"45,704,820.00",190.33,191.56,189.23
11/30/2023,189.95,"48,794,370.00",189.84,190.32,188.19
11/29/2023,189.37,"43,014,220.00",190.90,192.09,188.97
11/28/2023,190.40,"38,415,420.00",189.78,191.08,189.40
11/27/2023,189.79,"40,552,610.00",189.92,190.67,188.90
11/24/2023,189.97,"24,048,340.00",190.87,190.90,189.25
11/22/2023,191.31,"39,630,010.00",191.49,192.93,190.83
11/21/2023,190.64,"38,134,490.00",191.41,191.52,189.74
11/20/2023,191.45,"46,538,610.00",189.89,191.91,189.88
11/17/2023,189.69,"50,941,400.00",190.25,190.38,188.57
11/16/2023,189.71,"54,412,920.00",189.57,190.96,188.65
11/15/2023,188.01,"53,790,500.00",187.85,189.50,187.78
11/14/2023,187.44,"60,108,380.00",187.70,188.11,186.30
11/13/2023,184.80,"43,627,520.00",185.82,186.03,184.21
11/10/2023,186.40,"66,177,920.00",183.97,186.57,183.53
11/9/2023,182.41,"53,763,540.00",182.96,184.12,181.81
11/8/2023,182.89,"49,340,280.00",182.35,183.45,181.59
11/7/2023,181.82,"70,529,970.00",179.18,182.44,178.97
11/6/2023,179.23,"63,841,310.00",176.38,179.43,176.21
11/3/2023,176.65,"79,829,250.00",174.24,176.82,173.35
11/2/2023,177.57,"77,334,750.00",175.52,177.78,175.46
11/1/2023,173.97,"56,934,910.00",171.00,174.23,170.12
10/31/2023,170.77,"44,846,020.00",169.35,170.90,167.90
10/30/2023,170.29,"51,130,960.00",169.02,171.17,168.87
10/27/2023,168.22,"58,499,130.00",166.91,168.96,166.83
10/26/2023,166.89,"70,625,260.00",170.37,171.38,165.67
10/25/2023,171.10,"57,156,960.00",171.88,173.06,170.65
10/24/2023,173.44,"43,816,640.00",173.05,173.67,171.45
10/23/2023,173.00,"55,980,110.00",170.91,174.01,169.93
10/20/2023,172.88,"64,244,030.00",175.31,175.42,172.64
10/19/2023,175.46,"59,302,860.00",176.04,177.84,175.19
10/18/2023,175.84,"54,764,380.00",175.58,177.58,175.11
10/17/2023,177.15,"57,549,350.00",176.65,178.42,174.80
10/16/2023,178.72,"52,516,980.00",176.75,179.08,176.51
10/13/2023,178.85,"51,456,080.00",181.42,181.93,178.14
10/12/2023,180.71,"56,743,120.00",180.07,182.34,179.04
10/11/2023,179.80,"47,551,100.00",178.20,179.85,177.60
10/10/2023,178.39,"43,698,020.00",178.10,179.72,177.95
10/9/2023,178.99,"42,390,770.00",176.81,179.05,175.80
10/6/2023,177.49,"57,266,680.00",173.80,177.99,173.18
10/5/2023,174.91,"48,527,920.00",173.79,175.45,172.68
10/4/2023,173.66,"53,020,290.00",171.09,174.21,170.97
10/3/2023,172.40,"49,594,610.00",172.26,173.63,170.82
10/2/2023,173.75,"52,164,540.00",171.22,174.30,170.93
9/29/2023,171.21,"51,861,080.00",172.02,173.07,170.34
9/28/2023,170.69,"56,294,420.00",169.34,172.03,167.62
9/27/2023,170.43,"66,921,810.00",172.62,173.04,169.05
9/26/2023,171.96,"64,588,950.00",174.82,175.20,171.66
9/25/2023,176.08,"46,172,740.00",174.20,176.97,174.15
9/22/2023,174.79,"56,725,390.00",174.67,177.08,174.05
9/21/2023,173.93,"63,149,120.00",174.55,176.30,173.86
9/20/2023,175.49,"58,436,180.00",179.26,179.70,175.40
9/19/2023,179.07,"51,826,940.00",177.52,179.63,177.13
9/18/2023,177.97,"67,257,570.00",176.48,179.38,176.17
9/15/2023,175.01,"109,259,500.00",176.48,176.50,173.82
9/14/2023,175.74,"60,895,760.00",174.00,176.10,173.58
9/13/2023,174.21,"84,267,930.00",176.51,177.30,173.98
9/12/2023,176.30,"90,370,190.00",179.49,180.13,174.82
9/11/2023,179.36,"58,953,050.00",180.07,180.30,177.34
9/8/2023,178.18,"65,602,070.00",178.35,180.24,177.79
9/7/2023,177.56,"112,488,800.00",175.18,178.21,173.54
9/6/2023,182.91,"81,755,820.00",188.40,188.85,181.47
9/5/2023,189.70,"45,280,030.00",188.28,189.98,187.61
9/1/2023,189.46,"45,766,500.00",189.49,189.92,188.28
8/31/2023,187.87,"60,794,470.00",187.84,189.12,187.48
8/30/2023,187.65,"60,813,890.00",184.94,187.85,184.74
8/29/2023,184.12,"53,003,950.00",179.70,184.90,179.50
8/28/2023,180.19,"43,820,700.00",180.09,180.59,178.55
8/25/2023,178.61,"51,449,590.00",177.38,179.15,175.82
8/24/2023,176.38,"54,945,800.00",180.67,181.10,176.01
8/23/2023,181.12,"52,722,750.00",178.52,181.55,178.33
8/22/2023,177.23,"42,084,250.00",177.06,177.68,176.25
8/21/2023,175.84,"46,311,880.00",175.07,176.13,173.74
8/18/2023,174.49,"61,172,150.00",172.30,175.10,171.96
8/17/2023,174.00,"66,062,880.00",177.14,177.51,173.48
8/16/2023,176.57,"46,964,860.00",177.13,178.54,176.50
8/15/2023,177.45,"43,622,590.00",178.88,179.48,177.05
8/14/2023,179.46,"43,675,630.00",177.97,179.69,177.31
8/11/2023,177.79,"52,036,670.00",177.32,178.62,176.55
8/10/2023,177.97,"54,686,850.00",179.48,180.75,177.60
8/9/2023,178.19,"60,378,490.00",180.87,180.93,177.01
8/8/2023,179.80,"67,823,000.00",179.69,180.27,177.58
8/7/2023,178.85,"97,576,070.00",182.13,183.13,177.35
8/4/2023,181.99,"115,956,800.00",185.52,187.38,181.92
8/3/2023,191.17,"62,243,280.00",191.57,192.37,190.69
8/2/2023,192.58,"50,389,330.00",195.04,195.18,191.85
8/1/2023,195.61,"35,281,430.00",196.24,196.73,195.28
7/31/2023,196.45,"38,824,110.00",196.06,196.49,195.26
7/28/2023,195.83,"48,291,440.00",194.67,196.63,194.14
7/27/2023,193.22,"47,460,180.00",196.02,197.20,192.55
7/26/2023,194.50,"47,471,870.00",193.67,195.64,193.32
7/25/2023,193.62,"37,283,200.00",193.33,194.44,192.92
7/24/2023,192.75,"45,505,100.00",193.41,194.91,192.25
7/21/2023,191.94,"71,951,680.00",194.10,194.97,191.23
7/20/2023,193.13,"59,581,200.00",195.09,196.47,192.50
7/19/2023,195.10,"80,507,320.00",193.10,198.23,192.65
7/18/2023,193.73,"48,353,770.00",193.35,194.33,192.42
7/17/2023,193.99,"50,520,160.00",191.90,194.32,191.81
7/14/2023,190.69,"41,616,240.00",190.23,191.18,189.63
7/13/2023,190.54,"41,342,340.00",190.50,191.19,189.78
7/12/2023,189.77,"60,750,250.00",189.68,191.70,188.47
7/11/2023,188.08,"46,638,120.00",189.16,189.30,186.60
7/10/2023,188.61,"59,922,160.00",189.26,189.99,187.04
7/7/2023,190.68,"46,815,000.00",191.41,192.67,190.24
7/6/2023,191.81,"45,156,010.00",189.84,192.02,189.20
7/5/2023,191.33,"46,920,260.00",191.57,192.98,190.62
7/3/2023,192.46,"31,346,600.00",193.78,193.88,191.76
6/30/2023,193.97,"85,213,220.00",191.63,194.48,191.26
6/29/2023,189.59,"46,347,310.00",189.08,190.07,188.94
6/28/2023,189.25,"51,216,800.00",187.93,189.90,187.60
6/27/2023,188.06,"50,730,850.00",185.89,188.39,185.67
6/26/2023,185.27,"48,088,660.00",186.83,188.05,185.23
6/23/2023,186.68,"53,117,000.00",185.55,187.56,185.01
6/22/2023,187.00,"51,245,330.00",183.74,187.05,183.67
6/21/2023,183.96,"49,515,700.00",184.90,185.41,182.59
6/20/2023,185.01,"49,799,090.00",184.41,186.10,184.41
