Date,Close/Last,Volume,Open,High,Low
12/29/2023,43.62,"4,681,777.00",43.42,43.82,43.36
12/28/2023,43.47,"2,767,636.00",43.37,43.60,43.12
12/27/2023,43.38,"2,623,182.00",43.52,43.66,43.10
12/26/2023,43.48,"3,361,211.00",43.82,43.84,43.26
12/22/2023,43.82,"3,330,266.00",43.56,44.07,43.45
12/21/2023,43.73,"3,238,446.00",43.33,43.76,43.07
12/20/2023,42.98,"5,762,136.00",43.40,43.82,42.83
12/19/2023,43.67,"7,351,106.00",42.66,44.27,42.57
12/18/2023,42.52,"6,687,286.00",41.53,42.81,41.52
12/15/2023,41.75,"43,483,600.00",42.73,42.93,41.66
12/14/2023,42.65,"9,011,447.00",42.30,42.73,41.99
12/13/2023,41.96,"6,610,362.00",41.02,41.98,40.74
12/12/2023,41.11,"5,840,088.00",41.77,41.79,40.91
12/11/2023,41.76,"7,045,546.00",40.74,42.12,40.63
12/8/2023,41.29,"7,243,404.00",41.36,41.72,41.16
12/7/2023,41.48,"3,940,289.00",41.68,41.74,41.34
12/6/2023,41.47,"4,736,817.00",41.72,42.21,41.44
12/5/2023,41.48,"4,517,899.00",41.30,41.76,40.99
12/4/2023,41.62,"5,197,587.00",41.57,42.08,41.39
12/1/2023,41.73,"6,022,413.00",40.99,41.89,40.61
11/30/2023,41.01,"11,506,780.00",40.66,41.03,40.18
11/29/2023,40.64,"7,352,727.00",41.37,41.43,40.58
11/28/2023,41.13,"6,503,547.00",40.97,41.56,40.93
11/27/2023,41.35,"4,966,874.00",41.34,41.58,40.75
11/24/2023,41.48,"2,606,465.00",41.67,41.79,41.28
11/22/2023,41.64,"8,620,059.00",40.53,41.86,40.50
11/21/2023,40.39,"11,049,870.00",39.26,40.44,38.98
11/20/2023,39.45,"8,484,524.00",40.01,40.14,39.20
11/17/2023,40.14,"5,165,930.00",40.50,40.62,39.82
11/16/2023,40.18,"7,486,229.00",40.52,40.72,39.70
11/15/2023,40.62,"6,825,578.00",40.48,41.42,40.45
11/14/2023,40.34,"6,885,922.00",39.60,40.51,39.53
11/13/2023,38.73,"7,650,031.00",39.63,39.84,38.60
11/10/2023,39.85,"6,278,431.00",39.94,40.00,39.35
11/9/2023,39.93,"9,425,230.00",40.29,40.89,39.80
11/8/2023,39.95,"18,084,330.00",37.28,40.00,37.17
11/7/2023,40.77,"9,193,468.00",40.51,40.83,40.15
11/6/2023,40.36,"6,439,200.00",40.64,40.98,40.03
11/3/2023,40.54,"6,422,093.00",39.62,40.72,39.51
11/2/2023,38.99,"6,534,517.00",39.15,39.23,38.25
11/1/2023,38.71,"6,530,037.00",39.14,39.21,38.22
10/31/2023,39.23,"6,287,942.00",38.69,39.32,38.50
10/30/2023,38.64,"4,715,625.00",38.40,38.76,38.01
10/27/2023,37.99,"5,112,229.00",38.35,38.66,37.93
10/26/2023,38.36,"5,881,268.00",39.21,39.52,38.23
10/25/2023,39.30,"5,471,676.00",40.72,40.76,39.21
10/24/2023,40.99,"4,305,424.00",40.51,41.12,40.50
10/23/2023,40.17,"4,857,582.00",40.45,40.76,40.13
10/20/2023,40.76,"4,468,918.00",41.16,41.16,40.69
10/19/2023,41.14,"4,586,163.00",41.76,42.07,40.96
10/18/2023,41.89,"4,796,509.00",42.44,42.54,41.71
10/17/2023,42.56,"3,584,590.00",42.03,42.84,41.93
10/16/2023,42.47,"4,359,870.00",42.14,42.62,41.88
10/13/2023,41.79,"7,025,695.00",42.54,42.61,41.27
10/12/2023,42.63,"5,200,489.00",43.13,43.13,42.00
10/11/2023,43.05,"7,473,790.00",43.51,43.66,42.78
10/10/2023,43.52,"5,264,979.00",43.48,43.82,43.27
10/9/2023,43.35,"4,220,225.00",42.64,43.64,42.64
10/6/2023,43.01,"4,459,090.00",42.22,43.33,42.22
10/5/2023,42.61,"4,116,505.00",43.09,43.13,42.12
10/4/2023,42.94,"3,875,320.00",42.56,43.07,42.54
10/3/2023,42.51,"3,673,285.00",43.23,43.75,42.35
10/2/2023,43.55,"3,622,908.00",43.91,44.04,43.31
9/29/2023,44.09,"4,798,602.00",44.09,44.60,43.91
9/28/2023,43.65,"4,114,887.00",42.73,43.89,42.72
9/27/2023,42.89,"5,225,560.00",43.56,43.76,42.41
9/26/2023,43.49,"5,353,448.00",43.55,44.24,43.39
9/25/2023,43.82,"3,948,789.00",42.85,43.93,42.57
9/22/2023,43.13,"8,278,092.00",44.23,44.84,43.00
9/21/2023,43.92,"13,887,390.00",43.38,45.21,42.85
9/20/2023,43.69,"4,127,992.00",43.74,44.54,43.67
9/19/2023,43.62,"4,308,617.00",43.63,44.09,43.42
9/18/2023,43.91,"4,580,537.00",44.34,44.46,43.81
9/15/2023,44.56,"7,598,201.00",44.46,44.80,44.27
9/14/2023,44.36,"4,078,375.00",43.97,44.46,43.72
9/13/2023,43.71,"3,583,710.00",43.69,43.97,43.43
9/12/2023,43.51,"4,788,269.00",43.40,43.98,43.32
9/11/2023,43.51,"3,848,778.00",43.70,43.94,43.43
9/8/2023,43.43,"4,208,619.00",42.92,43.48,42.84
9/7/2023,43.12,"5,296,017.00",43.64,43.71,42.81
9/6/2023,44.12,"4,617,287.00",44.17,44.32,43.43
9/5/2023,44.29,"5,668,092.00",44.88,44.88,44.04
9/1/2023,45.10,"4,176,390.00",45.21,45.54,44.87
8/31/2023,44.78,"7,844,409.00",44.60,45.34,44.55
8/30/2023,44.75,"3,595,281.00",44.32,44.87,44.26
8/29/2023,44.32,"4,135,095.00",44.01,44.70,43.92
8/28/2023,43.87,"4,203,074.00",43.89,44.05,43.55
8/25/2023,43.59,"7,250,915.00",43.73,44.35,43.38
8/24/2023,43.14,"4,477,080.00",43.87,44.24,43.11
8/23/2023,43.90,"5,024,552.00",43.28,44.20,43.25
8/22/2023,43.27,"3,875,285.00",43.09,43.56,43.04
8/21/2023,43.04,"3,385,923.00",42.99,43.26,42.76
8/18/2023,42.99,"3,801,087.00",42.58,43.28,42.23
8/17/2023,42.95,"3,892,026.00",43.31,43.39,42.75
8/16/2023,42.93,"4,181,882.00",43.47,43.50,42.79
8/15/2023,43.58,"4,240,486.00",43.62,43.68,42.94
8/14/2023,44.03,"4,229,956.00",44.21,44.35,43.69
8/11/2023,44.50,"6,826,984.00",43.36,44.59,43.34
8/10/2023,43.29,"3,126,145.00",44.16,44.26,43.05
8/9/2023,43.67,"3,942,733.00",43.71,44.00,43.34
8/8/2023,43.52,"3,910,550.00",43.28,43.58,42.52
8/7/2023,43.85,"4,230,891.00",43.33,43.92,42.86
8/4/2023,43.05,"3,951,441.00",43.66,43.94,42.95
8/3/2023,43.61,"3,928,947.00",43.58,43.87,43.32
8/2/2023,43.76,"5,540,453.00",43.16,43.90,42.81
8/1/2023,43.56,"4,810,629.00",44.15,44.36,43.55
7/31/2023,44.51,"8,018,707.00",45.14,45.64,44.35
7/28/2023,45.01,"9,571,056.00",43.98,45.84,43.97
7/27/2023,43.66,"15,740,820.00",45.56,46.07,43.30
7/26/2023,48.80,"6,636,754.00",48.11,48.87,48.11
7/25/2023,48.31,"6,411,537.00",49.07,49.48,48.08
7/24/2023,48.94,"4,705,526.00",48.40,48.97,48.14
7/21/2023,48.34,"10,663,510.00",49.21,49.35,48.31
7/20/2023,48.84,"9,336,848.00",48.78,48.96,48.02
7/19/2023,49.03,"6,063,209.00",48.22,49.10,47.96
7/18/2023,48.03,"5,550,337.00",46.92,48.09,46.92
7/17/2023,47.19,"5,192,490.00",46.06,47.37,45.96
7/14/2023,46.50,"4,132,056.00",46.05,46.72,45.82
7/13/2023,46.13,"4,172,729.00",46.72,46.81,46.08
7/12/2023,46.41,"4,969,587.00",47.50,47.53,46.33
7/11/2023,46.90,"4,998,837.00",46.00,47.35,45.96
7/10/2023,45.67,"4,703,698.00",44.13,45.76,44.12
7/7/2023,44.26,"4,252,993.00",43.69,44.57,43.68
7/6/2023,43.85,"4,572,545.00",44.27,44.45,43.55
7/5/2023,45.03,"3,394,000.00",45.23,45.27,44.63
7/3/2023,45.23,"2,765,827.00",44.66,45.83,44.60
6/30/2023,44.69,"5,212,089.00",45.00,45.13,44.29
6/29/2023,44.60,"3,278,400.00",44.91,44.91,44.33
6/28/2023,44.84,"4,186,422.00",44.43,44.85,44.24
6/27/2023,44.47,"4,758,916.00",43.58,44.55,43.48
6/26/2023,43.46,"3,551,522.00",43.46,43.76,43.26
6/23/2023,43.37,"6,234,791.00",43.48,43.80,43.11
6/22/2023,43.87,"3,622,565.00",44.15,44.15,43.61
6/21/2023,44.10,"3,745,668.00",44.82,44.82,44.08
6/20/2023,44.84,"4,175,493.00",44.93,45.48,44.62
6/16/2023,45.06,"8,591,416.00",45.61,45.75,44.92
6/15/2023,45.62,"5,059,707.00",44.94,45.70,44.38
6/14/2023,45.07,"4,655,154.00",45.59,45.71,44.64
6/13/2023,45.52,"4,215,751.00",45.30,45.62,45.01
6/12/2023,45.12,"6,150,575.00",45.85,45.92,45.02
6/9/2023,45.81,"5,049,917.00",45.64,46.54,45.64
6/8/2023,45.61,"5,308,455.00",45.55,46.06,45.35
6/7/2023,45.06,"5,663,694.00",45.24,45.77,44.85
6/6/2023,45.18,"4,537,600.00",45.22,45.37,44.84
6/5/2023,45.29,"5,662,024.00",44.77,45.34,44.29
6/2/2023,44.39,"4,641,727.00",43.33,44.48,43.27
6/1/2023,43.26,"5,235,380.00",42.80,43.59,42.53
5/31/2023,42.54,"7,695,786.00",43.26,43.26,42.01
5/30/2023,43.62,"4,906,808.00",44.25,44.48,43.34
5/26/2023,44.36,"5,128,550.00",43.56,44.55,43.52
5/25/2023,43.62,"6,799,915.00",43.09,43.68,42.93
5/24/2023,43.30,"3,486,935.00",43.96,44.01,43.04
5/23/2023,43.78,"4,139,005.00",44.00,44.18,43.15
5/22/2023,44.12,"4,693,289.00",43.92,44.23,43.75
5/19/2023,43.48,"4,278,231.00",44.09,44.19,43.15
5/18/2023,44.12,"3,241,013.00",43.81,44.18,43.44
5/17/2023,43.88,"4,442,508.00",43.06,43.96,42.96
5/16/2023,43.03,"5,571,336.00",44.62,44.62,43.02
5/15/2023,45.13,"4,196,501.00",44.91,45.48,44.56
5/12/2023,44.91,"3,690,476.00",45.70,45.83,44.64
5/11/2023,45.78,"3,847,536.00",45.83,45.90,45.47
5/10/2023,45.82,"4,297,775.00",46.21,46.35,45.24
5/9/2023,45.81,"3,785,023.00",45.91,46.38,45.52
