Date,Close/Last,Volume,Open,High,Low
12/29/2023,353.96,"14,987,090.00",358.99,360.00,351.82
12/28/2023,358.32,"11,798,810.00",359.70,361.90,357.81
12/27/2023,357.83,"13,207,930.00",356.07,359.00,355.31
12/26/2023,354.83,"9,898,614.00",354.99,356.98,353.45
12/22/2023,353.39,"11,772,780.00",355.58,357.20,351.22
12/21/2023,354.09,"15,289,560.00",352.98,356.41,349.21
12/20/2023,349.28,"16,369,850.00",348.65,354.96,347.79
12/19/2023,350.36,"17,729,360.00",345.58,353.60,345.12
12/18/2023,344.62,"18,993,850.00",337.48,347.56,337.02
12/15/2023,334.92,"31,776,850.00",331.99,338.66,331.22
12/14/2023,333.17,"19,607,340.00",333.85,334.70,328.64
12/13/2023,334.74,"16,353,320.00",333.93,338.37,332.64
12/12/2023,334.22,"18,485,460.00",324.60,334.47,324.56
12/11/2023,325.28,"25,802,460.00",329.40,329.89,320.00
12/8/2023,332.75,"14,087,350.00",323.09,333.17,323.00
12/7/2023,326.59,"15,905,080.00",317.77,328.24,317.77
12/6/2023,317.45,"11,294,340.00",321.93,322.25,317.04
12/5/2023,318.29,"16,952,130.00",318.98,321.88,315.39
12/4/2023,320.02,"19,037,080.00",317.29,320.86,313.66
12/1/2023,324.82,"15,276,380.00",325.48,326.86,320.76
11/30/2023,327.15,"23,146,390.00",331.89,333.50,322.40
11/29/2023,332.20,"16,024,500.00",339.69,339.90,330.78
11/28/2023,338.99,"12,637,250.00",333.40,339.38,333.40
11/27/2023,334.70,"15,684,450.00",336.18,339.90,334.20
11/24/2023,338.23,"5,467,488.00",340.13,341.86,336.77
11/22/2023,341.49,"10,715,180.00",339.21,342.92,338.58
11/21/2023,336.98,"12,027,860.00",338.33,339.90,335.90
11/20/2023,339.97,"16,976,130.00",334.89,341.87,334.19
11/17/2023,335.04,"14,519,210.00",330.26,335.50,329.35
11/16/2023,334.19,"18,932,570.00",329.37,334.58,326.38
11/15/2023,332.71,"14,531,180.00",337.93,338.40,330.02
11/14/2023,336.31,"17,179,400.00",334.54,338.10,333.33
11/13/2023,329.19,"16,908,950.00",326.20,332.33,325.70
11/10/2023,328.77,"19,116,920.00",319.94,329.10,319.46
11/9/2023,320.55,"16,103,070.00",319.42,324.18,318.80
11/8/2023,319.78,"13,609,700.00",318.14,321.33,314.88
11/7/2023,318.82,"14,055,610.00",317.06,321.00,315.12
11/6/2023,315.80,"12,887,700.00",315.98,318.33,314.45
11/3/2023,314.60,"16,764,320.00",312.55,315.55,311.02
11/2/2023,310.87,"21,631,820.00",317.30,318.82,308.33
11/1/2023,311.85,"20,434,580.00",301.85,312.74,301.85
10/31/2023,301.27,"19,434,170.00",303.31,303.68,296.86
10/30/2023,302.66,"28,435,050.00",299.09,309.40,299.05
10/27/2023,296.73,"29,596,260.00",294.48,299.31,292.97
10/26/2023,288.35,"66,684,140.00",295.00,295.00,279.40
10/25/2023,299.53,"42,192,470.00",310.00,310.88,298.84
10/24/2023,312.55,"19,525,490.00",316.78,318.35,310.63
10/23/2023,314.01,"17,796,790.00",309.50,317.36,307.26
10/20/2023,308.65,"22,312,280.00",314.14,315.30,306.47
10/19/2023,312.81,"18,709,160.00",319.88,321.89,311.75
10/18/2023,316.97,"16,851,000.00",321.39,325.94,315.56
10/17/2023,324.00,"16,387,800.00",318.18,324.40,317.30
10/16/2023,321.15,"16,536,110.00",318.64,321.82,315.52
10/13/2023,314.69,"21,360,790.00",323.53,325.05,312.37
10/12/2023,324.16,"20,530,520.00",328.00,330.54,322.69
10/11/2023,327.82,"22,036,300.00",323.01,328.84,322.95
10/10/2023,321.84,"19,037,970.00",319.12,324.66,318.16
10/9/2023,318.36,"22,503,660.00",312.50,320.33,311.82
10/6/2023,315.43,"21,803,860.00",301.44,316.31,300.91
10/5/2023,304.79,"19,129,960.00",304.63,306.21,299.50
10/4/2023,305.58,"16,880,480.00",298.73,306.90,298.50
10/3/2023,300.94,"17,362,250.00",304.26,306.77,299.64
10/2/2023,306.82,"16,265,570.00",302.74,307.18,301.63
9/29/2023,300.21,"25,373,700.00",307.38,310.64,299.36
9/28/2023,303.96,"22,167,080.00",298.94,306.33,296.70
9/27/2023,297.74,"36,429,840.00",300.45,301.30,286.79
9/26/2023,298.96,"19,417,160.00",297.66,300.30,296.01
9/25/2023,300.83,"18,987,010.00",295.64,300.95,293.70
9/22/2023,299.08,"25,369,590.00",299.30,305.38,298.27
9/21/2023,295.73,"21,319,580.00",295.70,300.26,293.27
9/20/2023,299.67,"19,379,520.00",305.05,308.06,299.43
9/19/2023,305.07,"15,931,620.00",302.48,306.17,299.81
9/18/2023,302.55,"14,234,160.00",298.19,303.60,297.80
9/15/2023,300.31,"28,131,140.00",311.61,312.00,298.75
9/14/2023,311.72,"19,343,100.00",306.74,312.87,305.03
9/13/2023,305.06,"13,210,920.00",302.36,307.18,301.32
9/12/2023,301.66,"13,480,400.00",306.33,308.66,300.23
9/11/2023,307.56,"19,489,330.00",301.41,309.04,301.28
9/8/2023,297.89,"17,572,200.00",299.22,305.25,296.78
9/7/2023,298.67,"33,748,740.00",298.00,307.05,292.22
9/6/2023,299.17,"15,418,090.00",301.71,303.30,295.66
9/5/2023,300.15,"14,955,990.00",297.02,301.39,295.51
9/1/2023,296.38,"12,842,260.00",299.37,301.74,294.47
8/31/2023,295.89,"17,229,870.00",295.80,301.10,295.66
8/30/2023,295.10,"17,717,020.00",297.17,298.29,293.43
